No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1 ,Aliko Dangote,$7.7 billion  ,62, Nigeria,"Sugar, Cement, Flour"
2,Mike Adenuga,$9.2 billion  ,66, Nigeria,"Telecom, Oil"
3 ,Nicky Oppenheimer,$7.5 billion   ,74, South Africa,Diamonds
4 ,Nassef Sawiris,$6.3 billion  ,58, Egypt,"Construction, Chemicals"
5  ,Johann Rupert,$5.3 billion   ,69, South Africa,Luxury Goods
6 ,Koos Bekker,$3.3 billion   ,66, South Africa,Telecom
7  ,Issad Rebrab,$3.2 billion  ,75, Algeria,Food
8   ,Isabel dos Santos,$2.8 billion   ,46, Angola,Investments
9  ,Strive Masiyiwa,$2.5 billion  ,58, Zimbabwe,Telecom
10  ,Patrice Motsepe,$2.5 billion  ,57, South Africa,Mining
