Rank,Name,Net worth (USD),Age,Sources of wealth
1,Jeff Bezos,$114 billion,56,Amazon
2,Bill Gates,$106 billion,64,"Microsoft, Cascade Investment"
3,Warren Buffett,$80.8 billion,89,Berkshire Hathaway
4,Mark Zuckerberg,$69.6 billion,35,Facebook
5,Larry Ellison,$65 billion,75,Oracle
6,Larry Page,$55.5 billion,47,Google
7,Sergey Brin,$53.5 billion,46,Google
8,Michael Bloomberg,$53.4 billion,78,Bloomberg L.P.
9,Steve Ballmer,$51.7 billion,63,"Microsoft, LA Clippers"
10,Jim Walton,$51.6 billion,70,"Walmart, inherited"
