Unnamed: 0,Unnamed: 1,Unnamed: 2,Current Value ($bil),1-Year Value Change (%),Revenue ($mil),Operating Income ($mil)
Rank,Team,Owner(s),,,,
1,New York Knicks,Madison Square Garden Company,4.0,0.11,443.0,155.0
2,Los Angeles Lakers,"Jerry Buss Family Trusts, Philip Anschutz",3.7,12.0,395.0,147.0
3,Golden State Warriors,"Joe Lacob, Peter Guber",3.5,13.0,401.0,103.0
4,Chicago Bulls,Jerry Reinsdorf,2.9,12.0,287.0,115.0
5,Boston Celtics,"Wycliffe & Irving Grousbeck, Robert Epstein, Stephen Pagliuca",2.8,12.0,287.0,100.0
6,Brooklyn Nets,Mikhail Prokhorov,2.3,28.0,273.0,52.0
7,Houston Rockets,Tilman Fertitta,2.2,33.0,296.0,95.0
8,Los Angeles Clippers,Steve Ballmer,2.15,7.0,257.0,35.0
9,Dallas Mavericks,Mark Cuban,1.9,31.0,233.0,21.0
10,Miami Heat,Micky Arison,1.7,26.0,253.0,63.0
